Symptoms,Disease
Lower abdominal or pelvic pain irregular menstrual bleeding fever nausea in severe cases severe pelvic tenderness abnormal vaginal discharge,Pelvic Inflammatory Disease (PID)
nausea fatigue,Migraine
clenched fists with overlapping fingers severe developmental delays small head growth restriction Low birth weight breathing difficulties heart defects,Edwards’ Syndrome
limited movement of the affected area or trunk unexplained weight loss in advanced stages legs Painless or painful growing lump,Soft Tissue Sarcomas in Teenagers and Young Adults
mood changes Fatigue in severe cases soft or weak bones frequent infections hair loss slow wound healing,Vitamin D Deficiency
fear or panic feeling awake but unable to move short episodes lasting seconds to minutes,Sleep Paralysis
physical symptoms like stomach discomfort avoidance of social gatherings worry about being judged or embarrassed trembling rapid heartbeat,Social Anxiety Disorder
hoarse voice Difficulty swallowing food getting stuck in the throat weight loss chronic cough chest pain,Oesophageal Cancer
indigestion or back pain change in bowel habits unusual vaginal bleeding difficulty eating or feeling full quickly persistent fatigue Persistent bloating or abdominal swelling,Ovarian Cancer
hallucinations such as sensing a presence chest pressure,Sleep Paralysis
lower back or hip pain difficulty starting or stopping urine flow Frequent urination blood in urine or semen,Prostate Cancer
bloating heavy periods infertility Pelvic pain nausea severe menstrual cramps fatigue,Endometriosis
vomiting blood in vomit or black stools,Stomach Cancer
back pain brittle bones,Osteoporosis
Slow heartbeat chest discomfort fainting episodes especially during activity,Heart Block
confusion about time or place poor judgment mood changes difficulty planning or solving problems Memory loss,Alzheimer’s Disease
dizziness fatigue difficulty concentrating mood changes such as anxiety or depression,Post-Concussion Syndrome (PCS)
heat intolerance irritability increased sweating fatigue muscle weakness menstrual irregularities Unintentional weight loss trouble sleeping rapid heartbeat nervousness tremors,Overactive Thyroid (Hyperthyroidism)
smoke Wheezing difficulty breathing during triggers like dust,Asthma
mild itching irritation rough or scaly texture small raised bumps,Eczema (Atopic Dermatitis)
fatigue rapid heartbeat tremors,Overactive Thyroid (Hyperthyroidism)
fatigue wheezing sometimes chills or persistent tightness in the chest Cough with mucus shortness of breath chest discomfort fever body aches,Chest Infection
pain radiating to the buttocks or legs stiffness Lower back pain,Spondylolisthesis
difficulty swallowing a feeling of something stuck in the throat sore throat Bad breath,Tonsil Stones
or neck pain that spreads to jaw ear sensitivity to hot or cold fever Severe toothache swelling of gums or face foul taste in mouth,Dental Abscess
discomfort during wrist or hand movements pain when gripping or lifting objects tenderness on the outer side of the elbow Pain weakness in the forearm,Tennis Elbow
breathing or heart issues in advanced stages enlarged calf muscles Progressive muscle weakness muscle cramps,Muscular Dystrophy
bladder problems muscle weakness,Multiple Sclerosis (MS)
Sudden pain around the belly button that moves to the lower right side vomiting constipation or diarrhea fever swollen abdomen loss of appetite worsening pain with movement or coughing,Appendicitis in Children
loss of appetite jaundice unexplained weight loss a feeling of fullness after small meals fatigue Upper abdominal pain nausea,Liver Tumours
burning or tingling sensation difficulty eating or speaking Painful round or oval sores inside the mouth redness around the ulcer,Mouth Ulcer
pain worsening at night stiffness difficulty lifting the arm,Frozen Shoulder
vomiting nausea back or shoulder pain pain after fatty meals Sudden right upper abdominal pain indigestion sometimes jaundice bloating,Gallstones
vomiting nausea joint pain fever loss of appetite yellowing of skin or eyes (jaundice),Hepatitis
reduced range of motion tenderness fatigue morning stiffness swelling Joint pain stiffness nail pitting swollen fingers or toes (dactylitis),Psoriatic Arthritis
Persistent headaches loss of balance difficulty speaking personality or behavior changes,Brain Tumours
swelling in the abdomen dark urine loss of appetite,Liver Cancer
painful urination heel pain Joint pain lower back pain especially in knees,Reactive Arthritis
swollen testicles increased vaginal or penile discharge rectal discomfort if rectal infection occurs bleeding between periods sore throat after oral sex,Gonorrhoea
vision problems bladder problems,Multiple Sclerosis (MS)
redness commonly affecting the big toe Sudden severe joint pain swelling attacks often starting at night warmth in the affected joint tenderness to touch,Gout
a feeling of impending doom Severe chest pain or pressure fatigue jaw or back neck pain spreading to arm dizziness sweating nausea shortness of breath,Heart Attack
weight loss loss of appetite Chronic diarrhea fatigue,Inflammatory Bowel Disease (IBD)
fatigue during allergy exposure itchy or watery eyes,Allergic Rhinitis
body aches headache,Scarlet Fever
Fatigue enlarged spleen causing abdominal fullness unexplained weight loss,Chronic Lymphocytic Leukaemia
erectile dysfunction or ejaculation issues in males irregular periods Inability to conceive after 12 months of regular unprotected intercourse very painful periods reduced sexual desire,Infertility
Difficulty with social interaction sensitivity to lights or sounds repetitive behaviors preference for routines,Autism
mood changes muscle weakness in severe cases soft or weak bones slow wound healing bone pain frequent infections Fatigue,Vitamin D Deficiency
Fatigue feet cold hands dizziness rapid heartbeat shortness of breath poor concentration brittle nails,Iron Deficiency Anemia
shortness of breath on exertion nausea Fatigue headache reduced concentration pale skin weakness,Iron Deficiency Anemia
fear of water tingling or burning at the bite site weakness excessive salivation headache anxiety difficulty swallowing confusion paralysis coma in later stages muscle spasms,Rabies
weak urine stream in some cases no symptoms in early stages Frequent urination,Prostate Cancer
chest discomfort shortness of breath sometimes chills or persistent tightness in the chest fever wheezing fatigue,Chest Infection
fatigue feeling lightheaded fainting episodes,Heart Block
frequent falls enlarged calf muscles muscle cramps Progressive muscle weakness difficulty walking,Muscular Dystrophy
slight chest discomfort throat irritation general respiratory uneasiness sneezing mild cough Mild breathing difficulty nasal congestion,Upper Respiratory Tract Infection (URTI)
Sudden vision loss in one eye visual field loss seeing floaters or shadows eye pain in some cases blurred or dim vision sudden difficulty focusing,Eye Stroke
or brown discoloration of semen pelvic or testicular discomfort,Blood in Semen
acne-like bumps eye irritation,Rosacea
frequent urination Lower abdominal or pelvic pain pain during intercourse in some cases sudden severe pain if the cyst ruptures or twists fullness in the abdomen painful periods,Ovarian Cyst
dizziness chest discomfort,Heart Block
nausea lower back pain,Dysmenorrhea
Persistent headaches memory problems vision or hearing changes loss of balance difficulty speaking weakness in limbs nausea or vomiting seizures,Brain Tumours
fatigue Abdominal or pelvic pain,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
thin wavy burrow lines on the skin skin crusting in severe cases wrists rash in finger webs waist,Scabies
swollen lymph nodes enlarged spleen causing abdominal fullness unexplained weight loss Fatigue night sweats frequent infections,Chronic Lymphocytic Leukaemia
burning sensation while urinating frequent urination Cloudy or gritty urine abdominal or flank pain,Crystals in Urine
Low birth weight severe developmental delays growth restriction,Edwards’ Syndrome
shortness of breath frequent respiratory infections persistent cough especially at night chest tightness,Asthma in Children
or neck swelling of gums or face fever foul taste in mouth Severe toothache bad breath pain that spreads to jaw ear,Dental Abscess
gradual enlargement of the patch redness,Tinea Corporis (Ringworm)
weight loss chest pain fatigue coughing up blood night sweats,Tuberculosis
sometimes fever or blood in urine Burning sensation during urination cloudy or foul-smelling urine lower abdominal pain pelvic discomfort,Urinary Tract Infection (UTI)
pale stools dark urine yellowing of skin or eyes (jaundice) loss of appetite fever nausea,Hepatitis
fainting Sharp abdominal or pelvic pain vaginal bleeding dizziness symptoms of early pregnancy such as missed period or nausea shoulder pain,Ectopic Pregnancy
